model_tag,step_k,cond,gen_n_used,gen_n_listed,gen_sample_seed,same_domain,FID_same,KID_same_mean,KID_same_std,cross_domain,FID_cross,KID_cross_mean,KID_cross_std,kid_subset_size,kid_n_subsets
fine (diff_raw),50,female,1000,1000,1001,female,57.90726909869423,0.0579603783491631,0.0011062138962203,male,173.8097286312973,0.2127174967388198,0.0025098759614663,1000,50
fine (diff_raw),50,male,1000,1000,1001,male,91.76233589142942,0.0860564213961152,0.0017658475932937,female,183.898150365564,0.2124882927765447,0.0022280625737263,1000,50
fine (diff_raw),60,female,1000,1000,1001,female,63.5952551683435,0.0690276701169925,0.0014382908734135,male,190.69046853268145,0.2358868580894144,0.0030268845226132,1000,50
fine (diff_raw),60,male,1000,1000,1001,male,71.30093693205785,0.0628182831101517,0.0010128953006832,female,148.29523225053032,0.1719952532480678,0.0026106291599959,1000,50
fine (diff_raw),70,female,1000,1000,1001,female,55.86385225690464,0.055071364984024,0.0012634923760486,male,170.7850228328915,0.2033943716639782,0.002461189535729,1000,50
fine (diff_raw),70,male,1000,1000,1001,male,71.109301307019,0.0569916114580076,0.001032757403181,female,165.18315426440813,0.1936753971335238,0.0024722284155355,1000,50
fine (diff_raw),80,female,1000,1000,1001,female,59.65897496783833,0.0599565428635888,0.0012678250973706,male,174.61519120046992,0.2066151347138682,0.0030952482910495,1000,50
fine (diff_raw),80,male,1000,1000,1001,male,71.40994424985502,0.0600987227314711,0.0008907379833424,female,169.56621192223423,0.2043826915485599,0.0024691168359356,1000,50
fine (diff_raw),90,female,1000,5000,1001,female,55.50308654866393,0.0567414938039894,0.0015659676798891,male,159.77478272182387,0.1917576330968173,0.0021082107573553,1000,50
fine (diff_raw),90,male,1000,5000,1001,male,58.25629561643174,0.0474109320384152,0.0009419682705239,female,161.4596688089854,0.1959436201376702,0.0027168962250207,1000,50
lowpass_only,50,female,1000,1000,1001,female,56.28719661238608,0.0573698928748459,0.0011615478977666,male,177.31403931871148,0.217128793270882,0.002532108774916,1000,50
lowpass_only,50,male,1000,1000,1001,male,56.74337012730157,0.0465702636168531,0.0009786743669667,female,143.69969439881982,0.171494763182762,0.0021764841065218,1000,50
lowpass_only,60,female,1000,1000,1001,female,61.8683179535912,0.0614212955254883,0.0013072036934908,male,162.4617997313766,0.1883947116219432,0.0027999261333395,1000,50
lowpass_only,60,male,1000,1000,1001,male,72.71399347768573,0.0619821284691767,0.000974246304444,female,172.94447733712946,0.2049464253898453,0.0027713381266913,1000,50
lowpass_only,70,female,1000,1000,1001,female,59.08732273236518,0.063629751435663,0.001450787289435,male,170.41909463298686,0.2116558614436702,0.0024673100026813,1000,50
lowpass_only,70,male,1000,1000,1001,male,52.23912469738451,0.0424684461748391,0.0007486758693928,female,185.18635884655777,0.2358271106372227,0.0028157114601693,1000,50
lowpass_only,80,female,1000,1000,1001,female,64.57833700939585,0.0722259853857783,0.0015785619177001,male,212.30780611868428,0.2749369378651624,0.0034242963832378,1000,50
lowpass_only,80,male,1000,1000,1001,male,50.87733353682265,0.0358570170383676,0.0005578864202622,female,158.1161477863474,0.1889013435810427,0.002399727405702,1000,50
lowpass_only,90,female,1000,1000,1001,female,56.10356712150224,0.0569546428498155,0.0015650464682658,male,145.00956204812786,0.1669835037960772,0.0018901585548016,1000,50
lowpass_only,90,male,1000,1000,1001,male,64.69521282319917,0.0526720618578902,0.0010686717266799,female,184.33352806576224,0.2191983137743205,0.0028047823492251,1000,50
