model_tag,step_k,cond,gen_n_used,gen_n_listed,gen_sample_seed,same_domain,FID_same,KID_same_mean,KID_same_std,cross_domain,FID_cross,KID_cross_mean,KID_cross_std,kid_subset_size,kid_n_subsets
Standard baselines,,,,,,,,,,,,,,,
Onehot,90,female,5000,5000,1001,female,49.70620136,0.056819656,0.001497095,male,146.6386521,0.181368109,0.002443924,1000,50
Onehot,90,male,5000,5000,1001,male,42.50420372,0.037987006,0.000960844,female,136.0906378,0.169694765,0.00306628,1000,50
Base_CPDM (diff raw u_hat),90,female,5000,5000,1001,female,48.07520744,0.054795387,0.001642765,male,151.642676,0.19001603,0.003474662,1000,50
Base_CPDM (diff raw u_hat),90,male,5000,5000,1001,male,48.59791765,0.0463155,0.00125085,female,152.7196796,0.193040926,0.00304825,1000,50
Base_CPDM (diff_raw0.7+lowpass0.3),70,female,5000,5000,1001,female,42.44656591,0.049277881,0.001477028,male,153.2862782,0.198582816,0.00289754,1000,50
Base_CPDM (diff_raw0.7+lowpass0.3),70,male,5000,5000,1001,male,39.21211555,0.036554669,0.001236536,female,165.3418305,0.216949318,0.003151014,1000,50
Stronger baselines,,,,,,,,,,,,,,,
cond.quad_shift_ddpm_larger,50,female,5000,5000,1001,female,70.64854189,0.082352391,0.000433813,male,110.1367674,0.127069234,0.00072038,5000,50
cond.quad_shift_ddpm_larger,50,male,5000,5000,1001,male,71.19540885,0.077212233,0.000536237,female,150.106041,0.200161748,0.00088489,5000,50
Base_joint256,90,female,5000,5000,1001,female,49.13555977,0.057300593,0.001730335,male,165.9772611,0.21219973,0.002924948,1000,50
Base_joint256,90,male,5000,5000,1001,male,38.92981319,0.033173435,0.000680976,female,132.9516045,0.166607936,0.003023952,1000,50
CLIP512D_img,90,female,5000,5000,1001,female,20.02460935,0.018084359,0.000753525,male,132.168212,0.159677224,0.003234968,1000,50
CLIP512D_img,90,male,5000,5000,1001,male,24.24863245,0.019136029,0.000609923,female,119.0103359,0.150803206,0.003628943,1000,50
LLava1.5+CLIp512D_text,90,female,5000,5000,1001,female,39.5224158,0.040515258,0.001156298,male,112.10621,0.130460075,0.002744758,1000,50
LLava1.5+CLIp512D_text,90,male,5000,5000,1001,male,31.47244149,0.026312096,0.000626639,female,136.7123914,0.174804451,0.003590414,1000,50
