model_tag,step_k,s_z,gen_n_used,gen_n_listed,seed,P_flower_mean,P_flower_std,P_flower_sem,P_flower_median,P_flower_q25,P_flower_q75,P_leaf_mean,P_leaf_std,P_leaf_sem,frac_pred_flower,frac_pred_leaf,logit_mean,logit_std,logit_sem,logit_median,logit_q25,logit_q75
Continuous_CPDM,50,-1,1000,1000,1001,4.51E-05,0.000863374,2.88E-05,6.38E-07,1.17E-07,3.48E-06,0.999954936,0.000863374,2.88E-05,0,1,-14.27661156,2.634114364,0.087950519,-14.26488984,-15.95893363,-12.56732814
Continuous_CPDM,50,-0.8,1000,1000,1001,1.81E-05,0.000171629,5.43E-06,6.65E-07,1.01E-07,4.11E-06,0.999981939,0.000171629,5.43E-06,0,1,-14.29629429,2.695866595,0.085250787,-14.22374415,-16.1059491,-12.40304137
Continuous_CPDM,50,-0.6,1000,1000,1001,2.60E-05,0.000202432,6.40E-06,8.40E-07,1.21E-07,5.08E-06,0.999973978,0.000202432,6.40E-06,0,1,-14.0968751,2.815177958,0.089023744,-13.99001475,-15.92585338,-12.18938861
Continuous_CPDM,50,-0.4,1000,1000,1001,4.46E-05,0.000316319,1.00E-05,1.22E-06,1.43E-07,7.96E-06,0.999955417,0.000316319,1.00E-05,0,1,-13.73526599,2.925000368,0.092496633,-13.61399551,-15.76202661,-11.74069732
Continuous_CPDM,50,-0.2,1000,1000,1001,0.030516024,0.131498792,0.004158357,6.21E-05,3.68E-06,0.001253197,0.969483976,0.131498792,0.004158357,0.021,0.979,-9.423880078,4.304402437,0.136117157,-9.687193122,-12.51260078,-6.68080322
Continuous_CPDM,50,0,1000,1000,1001,0.517167211,0.408886069,0.012930113,0.579973649,0.058383833,0.955177931,0.482832789,0.408886069,0.012930113,0.525,0.475,0.068268391,4.127228265,0.130514417,0.322693743,-2.780577034,3.059274876
Continuous_CPDM,50,0.2,1000,1000,1001,0.957102022,0.133442937,0.004219836,0.998784792,0.988181349,0.999857088,0.042897978,0.133442937,0.004219836,0.974,0.026,6.56705301,3.212189359,0.101578347,6.711624041,4.426189069,8.853142095
Continuous_CPDM,50,0.4,1000,1000,1001,0.996036512,0.025253706,0.000798592,0.999947637,0.999551629,0.999992624,0.003963488,0.025253706,0.000798592,1,0,9.67197685,2.996237999,0.094749365,9.857254576,7.709440392,11.81729173
Continuous_CPDM,50,0.6,1000,1000,1001,0.998936992,0.012589148,0.000398104,0.999989453,0.999930499,0.999998178,0.001063008,0.012589148,0.000398104,1,0,11.28321654,2.792829566,0.088317025,11.45962595,9.574113791,13.21572055
Continuous_CPDM,50,0.8,1000,1000,1001,0.999629302,0.005858059,0.000185248,0.999996096,0.999972167,0.999999182,0.000370698,0.005858059,0.000185248,1,0,12.12165024,2.568583848,0.081225753,12.45362035,10.48927045,14.01616641
Continuous_CPDM,50,1,1000,1000,1001,0.999720225,0.004191792,0.000132556,0.999996701,0.999981547,0.999999266,0.000279775,0.004191792,0.000132556,1,0,12.38740801,2.456204144,0.077671995,12.62189745,10.90026123,14.12518511
