model_tag,step_k,s_z,gen_n_used,gen_n_listed,gen_sample_seed,FID_flower,FID_leaf,FID_avg_flower_leaf,FID_min,FID_gap_leaf_minus_flower,FID_gap_abs,closer_domain
Continuous_CPDM,50,-1,1000,1000,1001,188.3195999,44.4184284,116.3690141,44.4184284,-143.9011715,143.9011715,leaf
Continuous_CPDM,50,-0.8,1000,1000,1001,185.8583012,43.37119267,114.6147469,43.37119267,-142.4871085,142.4871085,leaf
Continuous_CPDM,50,-0.6,1000,1000,1001,184.1394254,45.03151952,114.5854725,45.03151952,-139.1079059,139.1079059,leaf
Continuous_CPDM,50,-0.4,1000,1000,1001,185.1557699,56.06880391,120.6122869,56.06880391,-129.086966,129.086966,leaf
Continuous_CPDM,50,-0.2,1000,1000,1001,193.421293,105.5496637,149.4854784,105.5496637,-87.87162935,87.87162935,leaf
Continuous_CPDM,50,0,1000,1000,1001,190.3370514,154.9836868,172.6603691,154.9836868,-35.35336457,35.35336457,leaf
Continuous_CPDM,50,0.2,1000,1000,1001,135.1227494,154.8802649,145.0015072,135.1227494,19.75751552,19.75751552,flower
Continuous_CPDM,50,0.4,1000,1000,1001,91.64427721,156.8627654,124.2535213,91.64427721,65.21848819,65.21848819,flower
Continuous_CPDM,50,0.6,1000,1000,1001,68.40056995,165.0532095,116.7268897,68.40056995,96.65263959,96.65263959,flower
Continuous_CPDM,50,0.8,1000,1000,1001,63.10643174,176.276162,119.6912968,63.10643174,113.1697302,113.1697302,flower
Continuous_CPDM,50,1,1000,1000,1001,62.91950203,182.0383123,122.4789071,62.91950203,119.1188102,119.1188102,flower
