model_tag,step_k,cond,gen_n_used,gen_n_listed,gen_sample_seed,same_domain,FID_same,KID_same_mean,KID_same_std,cross_domain,FID_cross,KID_cross_mean,KID_cross_std,kid_subset_size,kid_n_subsets
A1,40,flower,1000,1000,1001,flower,81.73546705,0.061301158,0.001134965,leaf,179.7902821,0.170442797,0.00124337,1000,50
A1,40,leaf,1000,1000,1001,leaf,46.6790619,0.026096462,0.000425884,flower,192.8476014,0.175070071,0.001791193,1000,50
A1,45,flower,1000,1000,1001,flower,89.31076928,0.068088557,0.001218858,leaf,174.9800053,0.157081981,0.001273515,1000,50
A1,45,leaf,1000,1000,1001,leaf,76.58624612,0.062634077,0.001430863,flower,224.6995866,0.223534098,0.002479578,1000,50
A1,50,flower,1000,1000,1001,flower,57.18696781,0.034730761,0.000819447,leaf,179.7313564,0.168527906,0.001128673,1000,50
A1,50,leaf,1000,1000,1001,leaf,57.75921215,0.042048026,0.001534452,flower,203.7062009,0.193834378,0.002139685,1000,50
A1.5,40,flower,1000,1000,1001,flower,76.44066654,0.053913087,0.001109013,leaf,175.5103703,0.16301268,0.001190756,1000,50
A1.5,40,leaf,1000,1000,1001,leaf,43.17378517,0.025396781,0.000611571,flower,190.8690338,0.17637053,0.001751297,1000,50
A1.5,45,flower,1000,1000,1001,flower,88.27027262,0.069847807,0.001229798,leaf,178.7261631,0.164472735,0.001236458,1000,50
A1.5,45,leaf,1000,1000,1001,leaf,42.63577976,0.026712749,0.000632023,flower,198.7980264,0.18975378,0.00234985,1000,50
A1.5,50,flower,1000,1000,1001,flower,62.57053367,0.043397828,0.00108004,leaf,199.911164,0.210144561,0.001264163,1000,50
A1.5,50,leaf,1000,1000,1001,leaf,46.73581521,0.026724189,0.000992834,flower,197.4080703,0.18128494,0.001982489,1000,50
A2,40,flower,1000,1000,1001,flower,65.76981708,0.047534773,0.001170147,leaf,200.6308984,0.207340961,0.001273826,1000,50
A2,40,leaf,1000,1000,1001,leaf,49.29121707,0.030758914,0.000565022,flower,194.5576977,0.180733188,0.001691044,1000,50
A2,45,flower,1000,1000,1001,flower,86.86708046,0.068472999,0.001218891,leaf,192.8995245,0.184755403,0.001248525,1000,50
A2,45,leaf,1000,1000,1001,leaf,34.49027628,0.017003907,0.000380297,flower,190.8545661,0.176177804,0.002179689,1000,50
A2,50,flower,1000,1000,1001,flower,57.63743333,0.037654531,0.000947773,leaf,199.8859283,0.206972983,0.001251361,1000,50
A2,50,leaf,1000,1000,1001,leaf,46.24365386,0.031181261,0.000944509,flower,195.3133641,0.1906423,0.002018658,1000,50
A2.5,40,flower,1000,1000,1001,flower,82.93052715,0.063210158,0.001180682,leaf,197.9268971,0.193218064,0.001211546,1000,50
A2.5,40,leaf,1000,1000,1001,leaf,55.20324087,0.038076539,0.001298603,flower,188.1680131,0.171693036,0.001725734,1000,50
A2.5,45,flower,1000,1000,1001,flower,71.37556395,0.04945292,0.001008615,leaf,202.2473083,0.197836031,0.001207284,1000,50
A2.5,45,leaf,1000,1000,1001,leaf,46.78251523,0.030201203,0.000768369,flower,202.1118352,0.189687646,0.002269025,1000,50
A2.5,50,flower,1000,1000,1001,flower,63.36299058,0.044006534,0.00096331,leaf,194.8549783,0.198824938,0.001247448,1000,50
A2.5,50,leaf,1000,1000,1001,leaf,52.94908171,0.034663588,0.001088193,flower,192.2413151,0.183964563,0.001869923,1000,50
A3,40,flower,1000,1000,1001,flower,118.209293,0.106925985,0.001702671,leaf,228.1361573,0.234855882,0.001290341,1000,50
A3,40,leaf,1000,1000,1001,leaf,48.74002377,0.030267164,0.000845124,flower,187.7133784,0.170363659,0.001715833,1000,50
A3,45,flower,1000,1000,1001,flower,74.75608982,0.054109524,0.001044106,leaf,185.7621663,0.177524858,0.001137586,1000,50
A3,45,leaf,1000,1000,1001,leaf,40.29495619,0.022239433,0.000579336,flower,190.2352905,0.173096173,0.002090685,1000,50
A3,50,flower,1000,1000,1001,flower,63.84008871,0.045826951,0.001083593,leaf,201.6137332,0.212512656,0.001255847,1000,50
A3,50,leaf,1000,1000,1001,leaf,41.37154888,0.021098043,0.00067188,flower,190.5059209,0.174581351,0.002145286,1000,50
A4,40,flower,1000,1000,1001,flower,93.57509458,0.071979048,0.001009333,leaf,171.8874233,0.152504997,0.001144559,1000,50
A4,40,leaf,1000,1000,1001,leaf,71.39313369,0.058540476,0.001815554,flower,195.7207089,0.187663226,0.001761622,1000,50
A4,45,flower,1000,1000,1001,flower,92.69619427,0.079854201,0.001283588,leaf,201.7998436,0.212478744,0.001163203,1000,50
A4,45,leaf,1000,1000,1001,leaf,43.69707262,0.026921304,0.000643679,flower,193.823619,0.178924125,0.002094925,1000,50
A4,50,flower,1000,1000,1001,flower,66.92646739,0.046560272,0.001167149,leaf,184.1892449,0.189159515,0.001197572,1000,50
A4,50,leaf,1000,1000,1001,leaf,54.89012608,0.038037104,0.000772929,flower,199.632839,0.190783509,0.00199099,1000,50
