model_tag,step_k,cond,gen_n_used,gen_n_listed,gen_sample_seed,same_domain,FID_same,KID_same_mean,KID_same_std,cross_domain,FID_cross,KID_cross_mean,KID_cross_std,kid_subset_size,kid_n_subsets
Linear,40,flower,1000,1000,1001,flower,65.76981708,0.047534773,0.001170147,leaf,200.6308984,0.207340961,0.001273826,1000,50
Linear,40,leaf,1000,1000,1001,leaf,49.29121707,0.030758914,0.000565022,flower,194.5576977,0.180733188,0.001691044,1000,50
Linear,45,flower,1000,1000,1001,flower,86.86708046,0.068472999,0.001218891,leaf,192.8995245,0.184755403,0.001248525,1000,50
Linear,45,leaf,1000,1000,1001,leaf,34.49027628,0.017003907,0.000380297,flower,190.8545661,0.176177804,0.002179689,1000,50
Linear,50,flower,1000,1000,1001,flower,57.63743333,0.037654531,0.000947773,leaf,199.8859283,0.206972983,0.001251361,1000,50
Linear,50,leaf,1000,1000,1001,leaf,46.24365386,0.031181261,0.000944509,flower,195.3133641,0.1906423,0.002018658,1000,50
Cosine,40,flower,1000,1000,1001,flower,80.3153652789234,0.0574000129067601,0.0011474269376344,leaf,203.092971076626,0.198858000523466,0.00126724303123067,1000,50
Cosine,40,leaf,1000,1000,1001,leaf,54.2278978722119,0.0346996525509905,0.000622725721665996,flower,193.761228545677,0.179110855327789,0.001688705975671,1000,50
Cosine,45,flower,1000,1000,1001,flower,79.607986155209,0.0584038734307425,0.00109500907660051,leaf,186.715281781282,0.17454929429092,0.00121805410172554,1000,50
Cosine,45,leaf,1000,1000,1001,leaf,38.628745544674,0.0215092537147307,0.000425431542380204,flower,194.382487516977,0.18205061284847,0.00217536450995317,1000,50
Cosine,50,flower,1000,1000,1001,flower,64.0197831256722,0.0444132652023773,0.00102207252833981,leaf,197.622501395995,0.207536251365188,0.00128683426556295,1000,50
Cosine,50,leaf,1000,1000,1001,leaf,54.0138879699438,0.0390607219639692,0.000959928850864074,flower,187.487676022081,0.178645772567467,0.00180303782149158,1000,50
1step-constant,40,flower,1000,1000,1001,flower,93.85361962062842,0.0794441201922348,0.001290826457342,leaf,189.06135524336557,0.1886447986374782,0.0013151503341243,1000,50
1step-constant,40,leaf,1000,1000,1001,leaf,47.742262459596816,0.0295429497492987,0.0008862767369981,flower,189.7326125461691,0.1755779508807551,0.0016689942962035,1000,50
1step-constant,45,flower,1000,1000,1001,flower,92.1378969922782,0.0720518424040844,0.0013748280744206,leaf,204.13270911786367,0.1959420394126219,0.0012385282154016,1000,50
1step-constant,45,leaf,1000,1000,1001,leaf,65.8420894858422,0.0534630092875048,0.0011189331381174,flower,213.728183966966,0.2168202154996508,0.0023512697258125,1000,50
1step-constant,50,flower,1000,1000,1001,flower,68.3991558264268,0.046927140072264,0.0009876623085209,leaf,185.54043131473568,0.1823939282032822,0.0011568955424728,1000,50
1step-constant,50,leaf,1000,1000,1001,leaf,65.93228120694508,0.0486224225376974,0.0014646629504258,flower,202.964280857048,0.1949801771742147,0.0020738874293374,1000,50
