model_tag,step_k,cond,gen_n_used,gen_n_listed,gen_sample_seed,same_domain,FID_same,KID_same_mean,KID_same_std,cross_domain,FID_cross,KID_cross_mean,KID_cross_std,kid_subset_size,kid_n_subsets
Standard baselines,,,,,,,,,,,,,,,
origin_shift,35,flower,5000,5000,1001,flower,155.9432954,0.157752149,0.00219825,leaf,197.1529219,0.207427401,0.002034202,1000,50
origin_shift,35,leaf,5000,5000,1001,leaf,133.2127772,0.131465508,0.002766389,flower,242.8463114,0.254911126,0.00266627,1000,50
Onehot,40,flower,5000,5000,1001,flower,132.7144401,0.131064248,0.002521531,leaf,220.4695266,0.227134102,0.002545541,1000,50
Onehot,40,leaf,5000,5000,1001,leaf,53.40723616,0.044434522,0.001612584,flower,182.4394978,0.183532962,0.002343331,1000,50
Base_CPDM,50,flower,5000,5000,1001,flower,49.52192982,0.037519563,0.001328301,leaf,191.7039526,0.205972262,0.002090449,1000,50
Base_CPDM,50,leaf,5000,5000,1001,leaf,37.91661292,0.031548806,0.001614684,flower,186.8387622,0.190121427,0.002373044,1000,50
Stronger baselines,,,,,,,,,,,,,,,
cond.quad_shift_ddpm_larger,35,flower,5000,5000,1001,flower,122.8093145,0.113013062,0.001903819,leaf,191.1224273,0.196538795,0.001649595,1000,50
cond.quad_shift_ddpm_larger,35,leaf,5000,5000,1001,leaf,122.3140982,0.117466819,0.002549719,flower,236.228412,0.244952708,0.002889802,1000,50
Base_joint256,40,flower,5000,5000,1001,flower,123.1859276,0.120530949,0.002488243,leaf,212.133304,0.216531966,0.0023769,1000,50
Base_joint256,40,leaf,5000,5000,1001,leaf,51.52506649,0.041260856,0.001941926,flower,185.1102357,0.181987747,0.002495951,1000,50
CLIP512D_img,50,flower,5000,5000,1001,flower,39.65715994,0.025594239,0.001277532,leaf,166.4719981,0.150427085,0.00204751,1000,50
CLIP512D_img,50,leaf,5000,5000,1001,leaf,19.27523062,0.010576193,0.000673355,flower,170.533898,0.15542806,0.00207753,1000,50
LLava1.5+CLIp512D_text,40,flower,5000,5000,1001,flower,103.9732675,0.097797981,0.002552305,leaf,184.3061715,0.180429844,0.001988026,1000,50
LLava1.5+CLIp512D_text,40,leaf,5000,5000,1001,leaf,48.00931723,0.040463631,0.001757232,flower,185.4253185,0.18141803,0.002300441,1000,50
